OriginAirportID,DestAirportID,DayOfWeek,delay_events,n,smoothed_delay_prob
10397,12889,5,5,45,0.1276595744680851
10397,12889,6,7,40,0.19047619047619047
10397,12889,7,5,33,0.17142857142857143
10397,12892,1,16,43,0.37777777777777777
10397,12892,2,6,38,0.175
10397,12892,3,17,56,0.3103448275862069
10397,12892,4,10,38,0.275
10397,12892,5,9,43,0.2222222222222222
10397,12892,6,11,34,0.3333333333333333
10397,12892,7,11,38,0.3
10397,12953,1,23,93,0.25263157894736843
10397,12953,2,24,116,0.211864406779661
10397,12953,3,31,97,0.32323232323232326
10397,12953,4,29,88,0.3333333333333333
10397,12953,5,27,87,0.3146067415730337
10397,12953,6,16,66,0.25
10397,12953,7,24,73,0.3333333333333333
10397,13198,1,3,32,0.11764705882352941
10397,13198,2,2,45,0.06382978723404255
10397,13198,3,5,36,0.15789473684210525
10397,13198,4,5,42,0.13636363636363635
10397,13198,5,1,24,0.07692307692307693
10397,13198,6,2,17,0.15789473684210525
10397,13198,7,7,33,0.22857142857142856
10397,13204,1,17,76,0.23076923076923078
10397,13204,2,6,78,0.0875
10397,13204,3,16,63,0.26153846153846155
10397,13204,4,15,73,0.21333333333333335
10397,13204,5,17,84,0.20930232558139536
10397,13204,6,14,68,0.21428571428571427
10397,13204,7,12,54,0.23214285714285715
10397,13232,1,12,51,0.24528301886792453
10397,13232,2,5,51,0.11320754716981132
10397,13232,3,13,65,0.208955223880597
10397,13232,4,13,53,0.2545454545454545
10397,13232,5,10,40,0.2619047619047619
10397,13232,6,4,28,0.16666666666666666
10397,13232,7,11,51,0.22641509433962265
10397,13244,1,5,38,0.15
10397,13244,2,1,50,0.038461538461538464
10397,13244,3,9,28,0.3333333333333333
10397,13244,4,5,40,0.14285714285714285
10397,13244,5,8,42,0.20454545454545456
10397,13244,6,0,32,0.029411764705882353
10397,13244,7,9,40,0.23809523809523808
10397,13303,1,8,49,0.17647058823529413
10397,13303,2,10,55,0.19298245614035087
10397,13303,3,16,54,0.30357142857142855
10397,13303,4,13,56,0.2413793103448276
10397,13303,5,9,70,0.1388888888888889
10397,13303,6,8,57,0.15254237288135594
10397,13303,7,14,70,0.20833333333333334
10397,13342,1,12,41,0.3023255813953488
10397,13342,2,9,38,0.25
10397,13342,3,7,39,0.1951219512195122
10397,13342,4,5,33,0.17142857142857143
10397,13342,5,4,37,0.1282051282051282
10397,13342,6,1,38,0.05
10397,13342,7,12,42,0.29545454545454547
10397,13487,1,12,49,0.2549019607843137
10397,13487,2,6,47,0.14285714285714285
10397,13487,3,8,43,0.2
10397,13487,4,13,50,0.2692307692307692
10397,13487,5,9,43,0.2222222222222222
10397,13487,6,3,47,0.08163265306122448
10397,13487,7,7,44,0.17391304347826086
10397,13495,1,8,61,0.14285714285714285
10397,13495,2,3,43,0.08888888888888889
10397,13495,3,6,45,0.14893617021276595
10397,13495,4,9,44,0.21739130434782608
10397,13495,5,5,42,0.13636363636363635
10397,13495,6,0,42,0.022727272727272728
10397,13495,7,6,52,0.12962962962962962
10397,13851,1,6,17,0.3684210526315789
10397,13851,2,0,22,0.041666666666666664
10397,13851,3,4,12,0.35714285714285715
10397,13851,4,7,20,0.36363636363636365
10397,13851,5,1,11,0.15384615384615385
10397,13851,6,1,9,0.18181818181818182
10397,13851,7,5,21,0.2608695652173913
10397,13871,1,3,16,0.2222222222222222
10397,13871,2,2,15,0.17647058823529413
10397,13871,3,1,14,0.125
10397,13871,4,6,13,0.4666666666666667
